,gender_word,verb,relation,gender
815,先生,们,conj,male
816,她,人士,conj,female
817,她,告诉,dobj,female
818,她,告诉,nsubj,female
819,她,给,pobj,female
820,妈妈,问,dobj,female
821,妈妈,被子,nn,female
822,他们,带领,dobj,male
823,他们,对,pobj,male
824,女儿,尾随,nsubj,female
825,女儿,告诉,dobj,female
826,妈妈,晓得,nsubj,female
827,她,爸爸,conj,female
828,爸爸,讲,nsubj,male
829,她,挂上,nsubj,female
830,她,们,nn,female
831,男,们,amod,male
832,妈妈,出嫁,nsubj,female
833,他,高兴,nsubj,male
834,他们,扔给,dobj,male
835,她,严肃,nsubj,female
836,他,言,dobj,male
837,男孩,吸引,nsubj,male
838,他们,之中,lobj,male
839,男孩,放眼,nsubj,male
840,他们,安稳,assmod,male
841,女儿,带,dobj,female
842,女儿,告诉,dobj,female
843,他,说,nsubj,male
844,他,认为,top,male
845,他,让,dobj,male
846,他,本意,assmod,male
847,他,熟,nsubj,male
848,爸爸,讲,nsubj,male
849,他,费,nsubj,male
850,他,译成,nsubj,male
851,女子,名字,nn,female
852,他们,熟悉,nsubj,male
853,女子,成,dobj,female
854,他,吃票,assmod,male
855,他们,跟,pobj,male
856,男生,们,nn,male
857,男生,拿,nsubj,male
858,他们,能力,nn,male
859,他们,母亲,assmod,male
860,母亲,异,nsubj,female
861,他,严,assmod,male
862,他,相貌,assmod,male
863,她,测验,nn,female
864,她,生疏,nsubj,female
865,她,碰到,nsubj,female
866,她,怪罪,dobj,female
867,女儿,告诉,dobj,female
868,她,爸爸,nn,female
869,爸爸,约会,nsubj,male
870,她,想念,dobj,female
871,他们,团员,nn,male
872,男孩,递,nsubj,male
873,他们,相貌,assmod,male
874,女,明星,amod,female
875,他,唱,nsubj,male
876,爸爸,是,top,male
877,妈妈,我,conj,female
878,妹妹,是,top,female
879,她,载,dobj,female
880,妈妈,们,nn,female
881,女,明星,amod,female
882,她们,叫来,nsubj,female
883,妈妈,爱,nsubj,female
884,她,心愿,assmod,female
885,她,是,top,female
886,女,孩儿,amod,female
887,女,孩子,amod,female
888,她们,一模一样,nsubj,female
889,她们,瞄,dobj,female
890,他,躯体,assmod,male
891,他,到,nsubj,male
892,他,面对,nsubj,male
893,他,高举,nsubj,male
894,他,重复,nsubj,male
895,他,是,top,male
896,男友,告诉,dobj,male
897,他,好,nsubj,male
898,她,气,nsubj,female
899,他们,相处,nsubj,male
900,舅舅,带,nsubj,male
901,他,功课,assmod,male
902,他们,骑,nsubj,male
903,他,开始,dobj,male
904,他,开始,dobj,male
905,她们,走,nsubj,female
906,妈妈,说,nsubj,female
907,她,桌,nn,female
908,她,来自,nsubj,female
909,他,老婆,nn,male
910,男生,讨厌,dobj,male
911,他们,找,dobj,male
912,男友,喜欢,nsubj,male
913,外婆,问,nsubj,female
914,妈妈,家,nn,female
915,外婆,挂,nsubj,female
916,她,额上,dep,female
917,他,这样,nsubj,male
918,他们,见,nsubj,male
919,他,提醒,dobj,male
920,他,让,dobj,male
921,她,给,pobj,female
922,她,喜欢,nsubj,female
923,男,时代,nn,male
924,他,相信,nsubj,male
925,她,做,nsubj,female
926,她,肚子,nn,female
927,她,告诉,nsubj,female
928,她,记下,nsubj,female
929,他,转,dobj,male
930,女孩,搂,dobj,female
931,男人,是,top,male
932,女人,是,top,female
933,他,写,nsubj,male
934,他,约,assmod,male
935,她,考上,nsubj,female
936,他,穿,nsubj,male
937,他,称,dobj,male
938,先生,出,nsubj,male
939,先生,抵抗,nsubj,male
940,他,带给,dobj,male
941,他们,是,nsubj,male
942,他们,是,nsubj,male
943,小姐,有,nsubj,female
944,她,话,assmod,female
945,他,怕,nsubj,male
946,他,问候,dobj,male
947,她,闹,dobj,female
948,她,说,nsubj,female
949,女友,和,pobj,female
950,女孩,宿舍,nn,female
951,她,送,dobj,female
952,她,耳边,dep,female
953,她,和,pobj,female
954,他,受访,nsubj,male
955,他,以为,nsubj,male
956,他,习,nsubj,male
957,他们,窥破,nsubj,male
958,女神,是,attr,female
959,他,参加,nsubj,male
960,他,坚守,nsubj,male
961,他,说及,nsubj,male
962,他,性能力,assmod,male
963,他,老百姓,nn,male
964,他,觉得,nsubj,male
965,他,与,pobj,male
966,他,与,pobj,male
967,他,是,top,male
968,他,谈论,nsubj,male
969,她,认为,nsubj,female
970,他们,与,pobj,male
971,她,记下,nsubj,female
972,她,作证,nsubj,female
973,她,目睹,nsubj,female
974,他,紧握,nsubj,male
975,她,知悉,nsubj,female
976,他们,没有,nsubj,male
977,她,叫,nsubj,female
978,母亲,瑞亚怀,nn,female
979,他,瑞亚怀,dobj,male
980,他,生下,dobj,male
981,他,试,nsubj,male
982,女性,发情,nsubj,female
983,他,是,nsubj,male
984,叔叔,新娘,conj,male
985,她,陪,nsubj,female
986,男孩,朋友,nn,male
987,他,事,nsubj,male
988,他们,买,nsubj,male
989,他们,奇怪,nsubj,male
990,他,慢,nsubj,male
991,他,歌曲,nn,male
992,他们,其中,dep,male
993,女儿,大,nsubj,female
994,她们,是,nsubj,female
995,爸爸,啜,nsubj,male
996,爸爸,劝,nsubj,male
997,妈妈,劝,dobj,female
998,男友,带,nsubj,male
999,先生,漂亮,nsubj,male
1000,他,叫,dobj,male
1001,她,说,nsubj,female
1002,他们,辩论,nsubj,male
1003,他,话,nn,male
1004,他,眼中,dep,male
1005,爸爸,是,attr,male
1006,他,简单,nsubj,male
1007,她,犯,dobj,female
1008,她,领,nsubj,female
1009,她,仰望,dobj,female
1010,她,后方,assmod,female
1011,他,谈,nsubj,male
1012,女性,杂志,nn,female
1013,她们,知道,nsubj,female
1014,他,们,dep,male
1015,她,们,dep,female
1016,先生,模样,assmod,male
1017,她们,想念,nsubj,female
1018,她,想念,dobj,female
1019,女儿,给,pobj,female
1020,女孩,儿,nn,female
1021,她,对,pobj,female
1022,他们,打开,nsubj,male
1023,她,是,nsubj,female
1024,她,恨,nsubj,female
1025,爸爸,妈妈,nn,male
1026,妈妈,为,pobj,female
1027,妈妈,童年,assmod,female
1028,女,老外,amod,female
1029,女,同业,amod,female
1030,她,恨,dobj,female
1031,他,认识,dobj,male
1032,他,与,pobj,male
1033,他们,是,nsubj,male
1034,男子,决斗,nsubj,male
1035,他们,情人,assmod,male
1036,男子,决斗,nsubj,male
1037,他们,不足,nsubj,male
1038,他们,小子,nn,male
1039,他们,想,nsubj,male
1040,她,拦阻,dobj,female
1041,她,丈夫,assmod,female
1042,男孩,和,pobj,male
1043,男孩,女孩,nn,male
1044,女孩,发现,dobj,female
1045,男孩,服役,nsubj,male
1046,女孩,们,nn,female
1047,女人,是,top,female
1048,女人,洁,nsubj,female
1049,男,先,nsubj,male
1050,女,后,nsubj,female
1051,她,和,pobj,female
1052,她,烦,dobj,female
1053,她,叫声,nsubj,female
1054,她,拿,pobj,female
1055,爷爷,说到,nsubj,male
1056,爷爷,说,top,male
1057,先生,们,nn,male
1058,男生,有,dobj,male
1059,他们,牛,nsubj,male
1060,她,动,nsubj,female
1061,她,觉得,nsubj,female
1062,她,看,dobj,female
1063,男人,鞋,assmod,male
1064,他,发现,nsubj,male
1065,他,使,dobj,male
1066,他,爱,nsubj,male
1067,女孩,是,attr,female
1068,她,见,dobj,female
1069,女,娃娃,amod,female
1070,男子,挽,nsubj,male
1071,他,表情,nn,male
1072,他,是,nsubj,male
1073,他,肯,nsubj,male
1074,她,心版,assmod,female
1075,先生,们,nn,male
1076,他,熟悉,nsubj,male
1077,他,女伴,assmod,male
1078,她,向,pobj,female
1079,伯伯,扛,nsubj,male
1080,他,扛,dobj,male
1081,他们,看,dobj,male
1082,伯伯,喘,nsubj,male
1083,伯伯,站,top,male
1084,她,爸爸,nn,female
1085,爸爸,送,nsubj,male
1086,她,替,pobj,female
1087,男,老师,amod,male
1088,他,含,nsubj,male
1089,他,而言,lobj,male
1090,女儿,方向,assmod,female
1091,她,剁,nsubj,female
1092,他,笑,assmod,male
1093,他,笑,nsubj,male
1094,男孩,Ｋ,nn,male
1095,他,朝服,nn,male
1096,妈妈,讲,nsubj,female
1097,他,看,dobj,male
1098,他,高,nsubj,male
1099,父亲,替,pobj,male
1100,他,有,top,male
1101,她,吃惊,nsubj,female
1102,她们,邀约,assmod,female
1103,她们,水平,nn,female
1104,他们,同学,nn,male
1105,他,像,pobj,male
1106,母亲,失,dobj,female
1107,他,寄,nsubj,male
1108,他,采用,nsubj,male
1109,他,想象,nsubj,male
1110,他,提醒,nsubj,male
1111,他们,其中,dep,male
1112,男子,捧上,nsubj,male
1113,他,老板,nn,male
1114,伯伯,落后,nsubj,male
1115,他们,身影,nn,male
1116,他,带,nsubj,male
1117,爷爷,问,dobj,male
1118,爷爷,话,nn,male
1119,哥哥,是,attr,male
1120,他们,受到,nsubj,male
1121,女孩,拿,nsubj,female
1122,她,当做,nsubj,female
1123,女子,是,attr,female
1124,男子,是,attr,male
1125,他,是,top,male
1126,他,递给,nsubj,male
1127,她,一样,nsubj,female
1128,女孩,儿,nn,female
1129,男孩,儿,nn,male
1130,她,甘心,nsubj,female
1131,男,同事,amod,male
1132,他,悼念,dobj,male
1133,女孩,是,nsubj,female
1134,男孩,看,dep,male
1135,他们,前辈,assmod,male
1136,他们,得到,nsubj,male
1137,她,叫,dobj,female
1138,爷爷,想,dobj,male
1139,她,当做,nsubj,female
1140,妈妈,当做,dobj,female
1141,她,当,nsubj,female
1142,她,一样,xsubj,female
1143,她,头发,assmod,female
1144,她,有,top,female
1145,他,听,dobj,male
1146,她,像,pobj,female
1147,他们,理,dobj,male
1148,她,家,dep,female
1149,爸爸,妈妈,nn,male
1150,妈妈,为,pobj,female
1151,他,是,top,male
1152,妈妈,像,pobj,female
1153,她们,是,top,female
1154,她,年轻,nsubj,female
1155,她,央,pobj,female
1156,她,红,nsubj,female
1157,她,家,nn,female
1158,他,投入,nsubj,male
1159,他,摸,nsubj,male
1160,他,问,dobj,male
1161,她,打发,nsubj,female
1162,她,接,dobj,female
1163,爷爷,告诉,dobj,male
1164,他,解释,nsubj,male
1165,她,向,pobj,female
1166,爸爸,说,nsubj,male
1167,女友,名字,assmod,female
1168,他,让,nsubj,male
1169,她,爱,dobj,female
1170,她,是,top,female
1171,他,是,top,male
1172,他,笑,nsubj,male
1173,她,替,pobj,female
1174,男人,幻想,nsubj,male
1175,女人,幻想,dobj,female
1176,父亲,做,dobj,male
1177,女孩,出国,nsubj,female
1178,她,个子,nn,female
1179,她,拉,dobj,female
1180,他们,处理,nsubj,male
1181,他,看,dobj,male
1182,他,坐,nsubj,male
1183,先生,规定,nsubj,male
1184,先生,批,nsubj,male
1185,他,说,nsubj,male
1186,他,加上,nsubj,male
1187,他,减去,dobj,male
1188,他,结婚,nsubj,male
1189,舅妈,放给,nsubj,female
1190,舅妈,放给,nsubj,female
1191,她,问,dobj,female
1192,她,说,nsubj,female
1193,她,威胁,dobj,female
1194,她,说,nsubj,female
1195,舅妈,说,nsubj,female
1196,她,搬家,nsubj,female
1197,她,指,nsubj,female
1198,他,念完,nsubj,male
1199,她,吃力,nsubj,female
1200,她,与,pobj,female
1201,他们,缴交,nsubj,male
1202,他们,卖给,dobj,male
1203,他,叫,dobj,male
1204,小姐,拜托,dobj,female
1205,她,住,nsubj,female
1206,她,跟,pobj,female
1207,她,说,nsubj,female
